Ticker,ANTM,BBCA,BBNI,BBRI,BMRI,CPIN,INDF,JPFA,MEDC,MYOR,PGAS,PTRO
ANTM,1.0,0.23,0.28,0.3,0.28,0.25,0.3,0.06,0.39,0.14,0.36,0.21
BBCA,0.23,1.0,0.47,0.66,0.66,0.29,0.36,0.1,0.18,0.32,0.26,0.03
BBNI,0.28,0.47,1.0,0.64,0.65,0.29,0.4,0.1,0.26,0.27,0.29,0.13
BBRI,0.3,0.66,0.64,1.0,0.74,0.32,0.4,0.14,0.21,0.31,0.33,0.07
BMRI,0.28,0.66,0.65,0.74,1.0,0.34,0.43,0.24,0.27,0.36,0.32,0.16
CPIN,0.25,0.29,0.29,0.32,0.34,1.0,0.44,0.37,0.16,0.39,0.21,0.18
INDF,0.3,0.36,0.4,0.4,0.43,0.44,1.0,0.22,0.2,0.38,0.27,0.08
JPFA,0.06,0.1,0.1,0.14,0.24,0.37,0.22,1.0,0.06,0.47,0.1,0.04
MEDC,0.39,0.18,0.26,0.21,0.27,0.16,0.2,0.06,1.0,0.13,0.36,0.27
MYOR,0.14,0.32,0.27,0.31,0.36,0.39,0.38,0.47,0.13,1.0,0.1,0.08
PGAS,0.36,0.26,0.29,0.33,0.32,0.21,0.27,0.1,0.36,0.1,1.0,0.12
PTRO,0.21,0.03,0.13,0.07,0.16,0.18,0.08,0.04,0.27,0.08,0.12,1.0
